id,zip_code,country,state,city,created_at,updated_at
125,509130,India,Andhra Pradesh,Mahboobnagar,,
126,509142,India,Andhra Pradesh,Mahboobnagar,,
127,533214,India,Andhra Pradesh,East Godavari,,
128,503235,India,Andhra Pradesh,Nizamabad,,
129,505306,India,Andhra Pradesh,Karimnagar,,
130,502103,India,Andhra Pradesh,Medak,,
131,500013,India,Andhra Pradesh,Hyderabad,,
132,500016,India,Andhra Pradesh,Hyderabad,,
133,509330,India,Andhra Pradesh,Mahboobnagar,,
134,515822,India,Andhra Pradesh,Anantapur,,
135,523180,India,Andhra Pradesh,Prakasam,,
136,532015,India,Andhra Pradesh,Srikakulam,,
137,508219,India,Andhra Pradesh,Nalgonda,,
138,522325,India,Andhra Pradesh,Guntur,,
139,508290,India,Andhra Pradesh,Nalgonda,,
140,531001,India,Andhra Pradesh,Anakapalle,,
141,531001,India,Andhra Pradesh,Vishakhapatnam,,
142,531001,India,Andhra Pradesh,Vishakhapatnam,,
143,531001,India,Andhra Pradesh,Vishakhapatnam,,
144,500004,India,Andhra Pradesh,Hyderabad,,
145,522003,India,Andhra Pradesh,Guntur,,
146,530042,India,Andhra Pradesh,Vishakhapatnam,,
147,534111,India,Andhra Pradesh,West Godavari,,
148,515001,India,Andhra Pradesh,Anantapur,,
149,515002,India,Andhra Pradesh,Anantapur,,
150,516357,India,Andhra Pradesh,Cuddapah,,
151,516105,India,Andhra Pradesh,Cuddapah,,
152,516228,India,Andhra Pradesh,Cuddapah,,
153,524302,India,Andhra Pradesh,Nellore,,
154,533222,India,Andhra Pradesh,East Godavari,,
155,522301,India,Andhra Pradesh,Guntur,,
156,522014,India,Andhra Pradesh,Guntur,,
157,501105,India,Andhra Pradesh,Ranga Reddy,,
158,516116,India,Andhra Pradesh,Cuddapah,,
159,533342,India,Andhra Pradesh,East Godavari,,
160,533342,India,Andhra Pradesh,East Godavari,,
161,501201,India,Andhra Pradesh,Ranga Reddy,,
162,524004,India,Andhra Pradesh,Nellore,,
163,500044,India,Andhra Pradesh,Hyderabad,,
164,503215,India,Andhra Pradesh,Nizamabad,,
165,530003,India,Andhra Pradesh,Vishakhapatnam,,
166,502273,India,Andhra Pradesh,Medak,,
167,524203,India,Andhra Pradesh,Nellore,,
168,522211,India,Andhra Pradesh,Guntur,,
169,521330,India,Andhra Pradesh,Krishna,,
170,533307,India,Andhra Pradesh,East Godavari,,
171,508290,India,Andhra Pradesh,Nalgonda,,
172,508227,India,Andhra Pradesh,Nalgonda,,
173,533406,India,Andhra Pradesh,East Godavari,,
174,524304,India,Andhra Pradesh,Nellore,,
175,533252,India,Andhra Pradesh,East Godavari,,
176,505466,India,Andhra Pradesh,Karimnagar,,
177,505514,India,Andhra Pradesh,Karimnagar,,
178,521176,India,Andhra Pradesh,Krishna,,
179,533557,India,Andhra Pradesh,East Godavari,,
